title,link,intro,objective,outline
Achieving the Psychological Advantage in Leadership,https://www.ntu.edu.sg/pace/programmes/detail/achieving-the-psychological-advantage-in-leadership,Introduction Achieving authentic leadership in life that is effective and sustainable requires a good dose of self awareness Understanding yourself is not just about recognizing your goals and clarifying your mission True understanding goes deeper It is about getting in touch with your deepest needs knowing what kind of forces drives you appreciating what motivates you and the way you actually impact others in relationships All good leaders know themselves well They know what they want They know what their strengths are in order to maximize them They know what their limitations are and work at minimizing their effects This workshop is for those who are serious about personal growth And there is no contradiction in having great fun and adventure while getting to know yourself seriously,The following are the objectives of the course To achieve effective self and other awareness To attain good working understanding on how you behave in relationships To develop the achievers mindset To acquire deep calm and centering in life To strengthen your leadership capability,1 Recognizing Becoming Alert to Your Physical Reactions Emotions Thoughts Control Your Reactions Responses Know How You View Yourself Mastering the Techniques of Changing Behavior Developing Qualities You Want 2 Expo ring Know How We Become Who We Are Managing Your Defenses Against Anxiety Analyzing Your Personality Constituents Creating Your Preferred Beliefs and Expectations Overcoming Your Negative Mindset s Constructing Positive Ones Renewing Your Self Concept Seeing Unconscious Factors that Influence You includes motivation instrument Empowering Your Values and Purpose 3 Actualizing Learn How We Deal Manage Changes in Life Enriching Your Center of Identity Freeing Yourself from Habitual Patterns Intensify and Use Your Will Powerfully Accepting Yourself for Achievement Crafting Development Oriented Behaviors 4 Leading Seeing Clearly Act with Aptitude Transforming Situations Effectively Practicing Inner Leadership with Consistency Enjoying Fulfilling Relationships for Life
Advanced Business Presentation,https://www.ntu.edu.sg/pace/programmes/detail/advanced-business-presentation,Introduction This two day intensive workshop will show participants the skills and strategies to become a more confident persuasive speaker in any situation It will show the participants how to prepare for structure and to create an impact ful delivery leaving a deep impression on the audience They will learn how to analyse a group create and prepare a presentation that not only achieves its outcome but also creates a positive memorable impression with all in attendance They will gain extensive feedback to maximise their individual strengths and identify their potential for improvement The program will be highly experiential with practical activities based on typical presentations required of the participants Content Creating a presentation that captures the audiences attention and leaves them with memorable messages Communicate key messages more clearly to audience Analysing an audience to create the presentation with the greatest possible impact Writing a presentation that you can deliver with confidence and power Using your voice to deliver with power Incorporating body language that reinforces your message Using visual aids electronic and other Techniques to structure complex information so it is easy to understand and remember Writing and delivering a persuasive presentation that creates genuine change and or promotes action Confidence in speaking impromptu Secrets of professional speakers,At the conclusion of this workshop participants will know how to Analyse an audience to choose the most relevant content and approach Structure and write a powerful easy to deliver memorable presentation Prepare their delivery effectively and efficiently Deliver a presentation with confidence and impact Speak confidently in off the cuff situations In form an audience in a way that stimulates maximum retention Persuade an audience to think differently Motivate an audience to action Confidently handle questions,Audience Analysis Using your audience analysis to select the most appropriate content for the audience Connection Engagement What your audience wants from you Oral Delivery Structure How to structure your information and delivery to achieve your purpose Primacy Rec en cy The importance of the first and last words you say Powerful Phraseology How to use speaking devices for powerful memorable communication Delivering complex information How to structure complex information in a way that is most easily understood Speaking to Persuade How to use the latest research to identify the most effective tools for an audience How to structure a persuasive presentation so it is most likely to prompt action Delivery Modality How to maintain the interest of the audience and regain it if lost Powerful Vocal Use Understanding how to maximise your vocal delivery Confident Body Language Understanding how to maximise your visual message body language Visual Aids with Impact Understanding how to maximise your visual message visual aids Audience Questions How to best prepare for audience questions Preparation How to prepare with confidence minim ising nervousness Handling Difficult Situations Dealing with difficult audiences and or messages Individual Presentations Presentations with feedback
Advanced Negotiation Skills in Business Applications,https://www.ntu.edu.sg/pace/programmes/detail/advanced-negotiation-skills-in-business-applications,Introduction In an economic downturn a clear understanding of the business situation equipped with effective negotiating skills can help you score better deals Regardless of the nature of the deal intelligent negotiating skills are required to reach an outstanding outcome In this 2 day course you will examine how to negotiate on a principle negotiation model measure the success of negotiations and evaluate why negotiations succeed or fail This programme is designed for senior executives and managers who are looking to strengthen and sharpen their skills and strategies to deal with the most complex and challenging aspects of the negotiation process in order to achieve lasting agreements with added value Informative and highly practical this programme includes role plays exercises and simulations relating to a range of negotiation contexts You will learn to think creatively establish a favorable climate and create innovative agreements,To use business psychology to effectively achieve positive results for both parties To conduct the exploratory stage effectively to gain useful insights of your opponents position To understand and interpret signals and other non verbal gestures To know ones own negotiation styles strengths and weaknesses To understand and use power tactics,The Exploration Stage determines the seasoned Negotiator How you probe and ask questions will determine your ability to identify hidden agendas and aspirations of your opponent Understanding the way a person process information and the way they think Understanding oneself as well as others will enable you to better prepare at the negotiation table You will be able to determine the areas of weaknesses of the opponent and use them to your teams advantage You will be able to conclude the negotiation with perceived benefits to the other party Understanding signals and other non verbal gestures Learning how to read the body language and other signals of the opponent is a valuable skill as it can cue you to knowing if the other party is telling the truth during negotiations Advanced communication skills Important communication skills such as listening presenting and questioning can help you emerge victorious in the exchanges of concessions during negotiation How to conclude agreements that last Successful negotiation is not about you winning at the expense of the other party It is about how to make the other party understand your side of things and how they can see benefits for themselves in the deal A successful negotiation is one in which both parties end up win win and are willing to do more deals in future
Advanced Project Management development Process (PMDP) for New Build,https://www.ntu.edu.sg/pace/programmes/detail/advanced-project-management-development-process-(pmdp)-for-new-build,Introduction The aim of this course is to introduce the concepts techniques and practice of engineering works and project management This course is designed to suit the needs of engineers architects facilities management practitioners real estate and property owners developers to appreciate the realm of engineering knowledge concerning time cost quality and safety in the deliverable s which will include such topics as organisation planning staffing roles of managers planning and scheduling client brief scope statement works management strategy project and product life cycle resource planning outsourcing risk management partnering and managing international and inter organisational installations and others,1 Understand the broad implications of engineering works and organisational contribution that engineers should make 2 Consider the integration management of technical cum engineering functions and managerial organisational business functions 3 Discuss the role and responsibilities of engineers in contributing to the organisation effectiveness and competitiveness 4 Outline the works management skills that engineering managers must have towards the successful completion of works projects at hand,1 What are works and installations of significantly large scale and complex 2 Works charter and scope statement 3 Creating work breakdown structure 4 Time cost planning and scheduling 5 Risk management 6 Developing effective site management team supported by HQ professionals partnering alignment of organisation and project culture 7 Effective problem solving and decision making 8 Measuring and monitoring the performance 9 Managing inter organisational and international works and installations 10 Performance management via evaluation and controls as well as closing out
Application of Design Innovation (DI) for Blockchain,https://www.ntu.edu.sg/pace/programmes/detail/application-of-design-innovation-(di)-for-blockchain,Introduction Block chain brings new concepts of secure decentralized administration of assets that are immutably managed for asset provenance and audit ability Although block chain begins with Bitcoin it has now been generalized into an infra structural platform that finds usage beyond financial applications Many enterprises and organizations have found the provenance and audit ability feature of block chain to be a missing piece in their incumbent business processes How does an enterprise go about harnessing the potential of block chains to create innovative products and services This 3 course Design Sprint Series brings business leaders through a creative and innovative process to empower their organizations with block chain technologies,1 Explore design innovation and its value for creating unique Block chain application 2 Experience end to end design process of developing a proof of concept Block chain application 3 Reflect on design innovation and Block chain to see how it can be actively incorporated into regular work,This course gets the participants to dive into a business domain and identify decentralization opportunities through design thinking tools Specifically the 3 day experience will get them to understand the ecosystem frame opportunities design the protocol idea te applications create proof of concepts test and verify them
Applied HAZOP for Engineers,https://www.ntu.edu.sg/pace/programmes/detail/applied-hazop-for-engineers,Introduction This course is designed to cover the essential elements for all safety operations engineering and managerial personnel with the responsibility for carrying out and participating in HAZOPS. It identifies potentially hazardous failures in a systematic thorough and creative way using guide words to determine what can go wrong outside the design envelope,At the end of this course the learners will learn 1 how to plan prepare and facilitate a HAZOPS. This is essential for those participants looking to conduct or take lead roles in HAZOPS. 2 how to follow up and report the findings of the HAZOPS and how to delegate responsibility effectively,1 Understand the relationship between HAZOPS and the other elements of a Safety Management System 2 HAZOPS methodology 3 Differences between HAZOPS and other reviews including design reviews 4 Understand the steps that must be taken to prepare conduct report and follow up on a HAZOPS 5 Common errors committed by inexperienced HAZOPS leaders 6 Developing good HAZOPS facilitating skills 7 Interactive HAZOPS Workshop practice
Apply Statistics for Lean Six Sigma,https://www.ntu.edu.sg/pace/programmes/detail/apply-statistics-for-lean-six-sigma,Introduction Applying Statistics for Lean Six Sigma builds measurement and analytical skills that enable more refined and sophisticated use of data These newly acquired skills and techniques then become the power tools which all Lean Six Sigma Practitioners apply when charts graphs and descriptive data methods fall short Just as important as how to apply these analytical methods this workshop emphasizes when and why statistical tools should be applied to add value to the organisation Underpinning Knowledge 1 Principles of Basic Statistics 2 Method of Data Collection and Measurement of Baseline Performance 3 Application of hypothesis tools for different type of data analysis 4 Procedure for performing Design of Experiment 5 Application of Statistical Process Control Pre requisites Participants should be comfortable with mathematical calculations and basic use of spreadsheet software Each participant should come with a Windows OS DVD drive laptop computer pre installed with a designated statistical analysis software package for use during in class exercises The link to download the software will be given one week before the workshop commences,The workshop aims to fulfill the following 1 Solidify understanding of fundamental principles of data and statistical analysis 2 Assess and manage data integrity whether for projects or ongoing process metrics 3 Organize format data as needed to conduct meaningful analyses 4 Identify and formulate critical questions or hypotheses to be investigated through statistical analysis and experimentation 5 Teach participants a variety of valuable analytical methods including their basic purpose and principles when and where to use them and how to execute the appropriate tests,Day 1 Statistical principle and term used for Data Analysis Overview of Mini tab Software and its functions Building a Data Collection Plan Day 2 Conducting Measurement System Analysis (MSA) Measuring Baseline Process Capability for Continuous Data Assessment Day 3 Application of hypothesis tools for different type of data analysis Conducting a 2 Level Factorial Design of Experiment Assessment Day 4 Implementing Statistical Process Control Final Revision and Assessment
Art of Saying No to Customers Without Offending Them,https://www.ntu.edu.sg/pace/programmes/detail/art-of-saying-no-to-customers-without-offending-them,Introduction It is common knowledge that an organization exists to fulfill the needs of its customers Customers therefore can make or break a company We all hear the adages that customer is king and customers are always right But are they always right all the time Some customers make unfair demands Do we have to comply The answer lies in understanding the rights and responsibilities of both the buyer and the supplier Sometimes we have to say no However to say no to customers without offending them and still maintaining a healthy relationship with them is an art This 2 day program will show you how to achieve this From how to communicate effectively with customers to being more customer focused in our services so that we can prevent upsetting a customer to learning how to disagree with customers to how to turn complaints to opportunities you will learn the art of being assertive so that you can say no confidently to customers without upsetting them and still maintaining the good relationship with them,At the end of this programme participants will be able to 1 Learn how to say No to a customer when necessary while maintaining the relationship 2 Better understand customer expectations and how they impact the level of service to them 3 Enhance engagement with customers through more effective communication 4 Manage and turn around upset customers Methodology Videos case studies role plays self analysis group discussions and hands on exercises on the various techniques will ensure participants can apply them back at their workplaces,"1 Introduction Trainer introduction Ice breaking activities Participants introductions and their individual learning needs Program objectives and layout of topics Group discussion on Reasons why we need to say no to customers Rights responsibilities The 3 behavioural types Introduction to the art of assertiveness 2 How to Say No The 6 step process on how to disagree with the other party role play Understand stress management 3 Effective Communication Understand what is active listening Learn the art of asking questions Know the dangers of assumption Understand body language Know the importance of ""I"" statements Participants get to practise all these skills 4 The Art of Assertiveness Learn the technique of looking at the big picture Profile and understand their personal behavioural styles Learn how to use the power words Practice giving and receiving criticisms feedback s 5 The Corporate Service Culture Discussion on the service culture of their own company Understand customers expectations of their services Learn how to be more customer focused in their services Learn how to improve upon their self image and self esteem 6 Managing Difficult Customer Situations Understand the hierarchy of customer service Know how to manage customers expectations Learn how to recognize the behavioural styles of customers and how to blend their own behavioural styles for most effective communication with the customers Learn how to turn complaints and adversities into opportunities Know how to calm upset customers 7 Participants Self Reflections and Personal Action Plan Participants reflect on what they learnt at the end of each day Participants log in at least 3 action items they wish to implement back at their workplaces"
BG3105 Biomedical Instrumentation,https://www.ntu.edu.sg/pace/programmes/detail/bg3105-biomedical-instrumentation,Introduction Biomedical Instrumentation introduces various biomedical instruments commonly used in clinical setting and their working principles This course will help participants develop a strong understanding on the mechanism and operation of these instruments interfacing at human physiology and machines at level medical doctors do This is a single credit bearing course from NTU Undergraduate Degree Programmes,Biomedical Instrumentation introduces various biomedical instruments commonly used in clinical setting and their working principles This course will help participants develop a strong understanding on the mechanism and operation of these instruments interfacing at human physiology and machines at level medical doctors do,This course introduces biomedical instruments and their working principles Basic concepts of medical instrumentation Basic sensors and transducers amplifiers and signal processing Basic physiology related to each measurement Basics about measurements and instrumentation will be learnt Participants will learn firstly about anatomy and physiology of major organs such as heart lung and brain before learning details about medical instruments A 3D CAD software skill will be acquired such that they can comfortably draw 3 dimensional parts and assembly in their mind for instrument prototyping
BG4313 Global Medical Device Regulatory Overview,https://www.ntu.edu.sg/pace/programmes/detail/bg4313-global-medical-device-regulatory-overview,"Introduction This course will focus on 4 key elements 1 Basic medical technology 2 Medical device regulatory fundamental e g key definition product classification 3 Regulatory systems in key countries e g US, EU, China SEA including Singapore 4 Key regulatory standards e g ISO 13485 and ISO 109993 This is a single credit bearing course from NTU Undergraduate Degree Programmes","This course will focus on 4 key elements 1 Basic medical technology 2 Medical device regulatory fundamental e g key definition product classification 3 Regulatory systems in key countries e g US, EU, China SEA including Singapore 4 Key regulatory standards e g ISO 13485 and ISO 109993","This course will focus on 4 key elements 1 Basic medical technology 2 Medical device regulatory fundamental e g key definition product classification 3 Regulatory systems in key countries e g US, EU, China SEA including Singapore 4 Key regulatory standards e g ISO 13485 and ISO 109993"
BS0004 Introduction to Data Science,https://www.ntu.edu.sg/pace/programmes/detail/bs0004-introduction-to-data-science,Introduction It is particularly noteworthy that biology is becoming increasingly digitized thanks to advancements in om ics platforms advanced analytics the advent of AI and cloud based mega data repositories Hence the modern biologist needs to understand how data science could potentially make his her research more effective You will learn what this exciting new field is about how it relates towards Singapore ethical issues and its application in biological sciences You will also learn about some of the main themes related to data science namely algorithms AI and machine learning logic databases and networks This course is credit bearing and stack able to Specialist Certificate in Biological Data Science Advanced Biological Data Science,"By the end of this course you should appreciate how data science contributes towards Singapore s Smart Nation aspirations potential ethical issues especially with the use of AI), and its uses in the biological sciences",Data science in the Singapore landscape Socio ethical implications of data science and A I The qualities and skill sets required of a data scientist The relevance of data science in biology The importance of graphs in communication Research design considerations and con founder sHow data is organized using database sHow Logic helps clarify thinking process Network theory and network biology Machine learning evaluation metrics Examples of machine learning algorithms
BS0005 One Health,https://www.ntu.edu.sg/pace/programmes/detail/bs0005-one-health,Introduction Starting from the basics of cross species diseases and the dependence of human health on the environment food and animals around us you will further learn the principles and strategies to better our health through ensuring food safety improving animal health and mitigation of climate change This course is credit bearing and stack able to Specialist Certificate in Health Aging Advanced Health Aging,With skills on risk assessment disease surveillance and control you will be able to identify emerging threats to human health and formulate holistic systematic and integrated approaches for prevention and mitigation of the threats This course will help your future careers in public health medical research and development teaching public service as well as various bio businesses It will also benefit your personal health,Human history in association with diseases food and the environment Emerging and re emerging vector borne and zoonotic diseases Importance and challenges of ONE HEALTH initiatives Vector borne diseases and disease causing agents mechanisms of transmission and control strategies Zoonosis and disease causing agents mechanisms of transmission and control strategies Foodborne diseases and disease causing agents mechanisms of transmission and control strategies Principles and tools for laboratory diagnosis Public health epidemiology outbreak investigations and management Surveillance and risk assessment One Health perspective on antimicrobial resistance Integrated food safety systems international and local Feeding and healing our growing populations with modern biotechnology
BS1008 Biostatistics,https://www.ntu.edu.sg/pace/programmes/detail/bs1008-biostatistics,Introduction This course aims to provide an overview of the importance of biostatistics in the scientific design of experiments and in the data collection processing analysis and interpretation of the life sciences This course is credit bearing and stack able to Specialist Certificate in Biological Data Science Advanced Biological Data Science,Students will learn the basic theory computational skills and applications of statistics in biology,The importance of biostatistics in the conduct of biological experiments Data and graphs pie scatter histogram and bar charts tables of data Basic statistics concepts mean standard deviation Probability distribution and estimation normal how to compute probability Binomial distribution formulas and calculation Poisson Distribution formulas calculation and relationship with binomial Hypothesis testing z test and t test A NOVA test for more than two groups and correlation regression Non parametric methods methods for categorical and ranked data
BS1009 Introduction to Computational Thinking,https://www.ntu.edu.sg/pace/programmes/detail/specialist-certificate-in-biological-data-science-bs1009-introduction-to-computational-thinking,Introduction The aim of this course is to take you from having no prior experience of thinking in a computational manner to a point where you can apply abstraction decomposition and algorithm design to solve some basic problems in sciences In addition the course will include topics to raise awareness of the socio ethical issues arising from the pervasive ness of computing technology and impending trends This course is credit bearing and stack able to Specialist Certificate in Biological Data Science Advanced Biological Data Science,"Upon successfully completing this course you should be able to Describe how computer hardware and software work together Explain what tasks the different programming languages e g Fortran Python R, Perl can be applied to Use the basic program constructs such as loops and if else statements Use abstraction and decomposition to solve complex problems Apply pattern recognition to define universal solutions to different problems Design algorithms to implement solutions to problems Describe the limitations and trends of computing Explain socio ethical ramifications of pervasive ness of computing in our lives",1 Computer hardware and software 2 Programming languages 3 Basic programming constructs if else for loop and visual programming 4 Problem solving with abstraction and decomposition 5 Problem solving with pattern recognition 6 Implementing algorithms to solve problems 7 Limits of computing and algorithmic complexity 8 Current computing trends such as cloud block chain quantum computing 9 Issues and ramifications of pervasive ness of computers
